URL,MainTitle,SectionTitle,Content
https://utdallas.edu,The University of Texas at Dallas,Campus Health Promotion,"We are Comets United in our commitment to supporting healthy behaviors, protecting our campus and protecting us all."
https://utdallas.edu,The University of Texas at Dallas,See Our Episode,Learn how Comets are growing intellectually and bonding with new friends over shared interests.
https://utdallas.edu,The University of Texas at Dallas,Spring Break: March 17-23,"There will be no classes, and some University operations will have adjusted hours. Classes will resume Monday, March 24."
https://utdallas.edu,The University of Texas at Dallas,Fast Facts,#3Best Public Universityin Texas (U.S. News & World Report) 61%Graduating seniors haveno student debtcompared to 45% in the nation (2021 TICAS Report)
https://utdallas.edu,The University of Texas at Dallas,My UTD,"Nanditha NiranjanHealthcare Studies and BiologyFollow this senior as she starts the day with dance stretches and her dog, attends her favorite class, chats with a friend over ramen and spotlights her student organization.View My UTD"
https://utdallas.edu,The University of Texas at Dallas,New Dimensions,"TheNew Dimensionscampaign aims to build upon a half-century of momentum, propelling our University’s growth and success through the next 50 years and beyond. Help UT Dallas create new dimensions of impact around the globe by supporting our efforts to attract the best and brightest students, enhance lives through transformative research and transform the arts at UT Dallas."
https://utdallas.edu,The University of Texas at Dallas,Copyright Information,© The University of Texas at DallasQuestions or comments about this page?
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Galaxy,"The Galaxy portal is the starting point for working in the Orion system, Gemini FMS and Gemini HCM. It also provides links to other services such as email and eLearning. Maintenance is complete, we recommend you:Clear all browser cache.Knowledge article for instructions.Remove any bookmarked links to the Orion, Gemini FMS or Gemini HCM systems. Please access the systems throughhttps://www.utdallas.edu/galaxy/.Routine Maintenance:Orion, Gemini FMS and Gemini HCM may be unavailable due to routine maintenance on Sunday mornings between 2 a.m. and noon.**Extended Maintenance:Orion, Gemini FMS and Gemini HCM will be unavailable on Sunday March 2nd from 2am to 3 p.m. Please note that eLearning and Office 365 will not be affected. OrionAccess to application status, academic records, financial aid and tuition/fees for applicants, students, faculty and staff.GeminiAccess to Financial Management System (FMS) and Human Capital Management (HCM). Fluid TrainingHow-to documents for navigating in the new interface for Orion and Gemini systems.Galaxy Best PracticesHaving trouble with Orion/Gemini login? Find recommendations and troubleshooting information."
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Orion,"Access to application status, academic records, financial aid and tuition/fees for applicants, students, faculty and staff."
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Gemini,Access to Financial Management System (FMS) and Human Capital Management (HCM).
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Fluid Training,How-to documents for navigating in the new interface for Orion and Gemini systems.
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Galaxy Best Practices,Having trouble with Orion/Gemini login? Find recommendations and troubleshooting information.
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Toolbox,"Atlas Self-ServiceSubmit or view the status of IT-related service requests or incidents.BioRAFT Research ManagementLink to the BioRAFT, the Research Management Platform. Login with UTD NetID required.Compliance & Security EducationKnowBe4 content delivery platform.DocuSignLaunch DocuSign to sign or send documents for electronic signature. ECRTLaunch the Effort Certification Reporting Technology tool.Employee Assistance ProgramThe Deer Oaks EAP offers a wide variety of counseling, referrals and consultation services.eLearningVisit eLearning to access your academic information.JIRALink to the JIRA Project Tracking tool. Requires a NetID with a valid JIRA account to login. MS TeamsLaunch the Microsoft Teams web client to collaborate with colleagues.My ParkingManage your parking account: purchase permits, pay or appeal citations.Office 365Email on Office 365. For students, retirees and migrated faculty and staff.OnBaseLaunch the OnBase Document Management tool. Requires an OnBase account."
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,Atlas Self-Service,Submit or view the status of IT-related service requests or incidents.
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,BioRAFT Research Management,"Link to the BioRAFT, the Research Management Platform. Login with UTD NetID required."
https://galaxy.utdallas.edu/,Galaxy | The University of Texas at Dallas,DocuSign,Launch DocuSign to sign or send documents for electronic signature.
