URL,MainTitle,SectionTitle,Content
https://oit.utdallas.edu/,Office of Information Technology | UT Dallas,Office of Information Technology,
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Welcome,"The International Center brings the world to UT Dallas and UT Dallas to the world. We provide access to quality international education that impacts all of UT Dallas by building and cultivating strategic partnerships locally and abroad; supporting the success of international students and scholars; and developing safe and meaningful opportunities for students, faculty and staff to interact with peers and colleagues across the globe. The UT Dallas International Center is organized administratively into four major offices: International Education , International Students and Scholars , International Initiatives , and Immigrant and Citizenship Services ."
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Support Us,
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,What We Do,"The International Center helps UT Dallas faculty, staff and students participate in international education. We also help faculty add international components to teaching and research."
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,International Education,"Supports the UTD strategic plan of  global engagement by preparing students to lead in this globally interconnected and diverse world through a variety of international education programs; by supporting the health, safety and security of the UTD community traveling abroad; and by facilitating international partnerships."
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,International Students and Scholars,"Serve our international students, scholars and visitors, campus units and university administration through accurate and prompt immigration services, programming, advocacy, and outreach."
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,International Initiatives,"Supports the UT Dallas strategic plan theme of global engagement by developing opportunities to increase internationalization on campus, participation in education abroad and visibility of the University brand to international audiences. Learn more about International Initiatives"
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Immigrant and Citizenship Services,"Supporting both the UTD community and beyond, the Office of Immigrant and Citizenship Services offers expert guidance and assistance throughout the immigration journey."
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Passport Services,We are an official passport application acceptance facility that provides services to the UTD community as well as to the greater north Texas area. Schedule an appointment today!
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Upcoming Events,
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Latest News,"Kenyan Delegation Visits UT Dallas to Strengthen Educational Partnerships February 27, 2025 UT Dallas Whooshes into East and West Africa October 22, 2024 Celebrating Culture and Community at Dallas International Night Market 2024 September 27, 2024"
https://ic.utdallas.edu/,International Center | The University of Texas at Dallas,Meet Our Students,
https://icp.utdallas.edu/,Intercultural Programs | The University of Texas at Dallas,Be Globally Engaged!,"Learn about Events, Activities and Programs from Intercultural Programs."
https://icp.utdallas.edu/,Intercultural Programs | The University of Texas at Dallas,Be Globally Engaged!,"Learn about Events, Activities and Programs from Intercultural Programs. UT Dallas has the privilege of hosting over 6,000 international students from more than 100 countries, who enhance our intercultural setting to become a unique place to Be Globally Engaged at home."
https://icp.utdallas.edu/,Intercultural Programs | The University of Texas at Dallas,"Learn about Events, Activities and Programs from Intercultural Programs.","Internationalization at home is an essential part of university life, where cultures, values, languages and art come together in one place on daily basis. Intercultural Programs (ICP) invites you to embrace any of the institutional opportunities to Be Globally Engaged. The mission of ICP is to lead the university community in opportunities that foster global engagement by: Generating experiences that promote, develop and enhance intercultural competence. Supporting the integration of international students into campus life. ICP facilitates opportunities for students, faculty and staff to engage in cross-cultural experiences in collaboration with campus partners, student organizations and community friends. ICP assists international students to fulfill their educational purpose by facilitating the understanding of services, guidelines, and culture associated with the success of accomplishing that purpose. Events and services provided by ICP include: Intercultural programs: iFriend and International Week (iWeek) . Transitional programs for international students: International Student Orientation , pre-arrival resources, spouse and family support and cultural trips. Intercultural competency trainings and events . Support, funding and advising for cultural student organizations. Volunteer opportunities for students. Email icprograms@utdallas.edu to learn more about ICP programs, workshops and events."
https://police.utdallas.edu/,UT Dallas Police Department,UT Dallas Police Department,"The University of Texas at Dallas Police Department is committed to creating an environment in which teaching, research, community life and public service may flourish. All personnel are dedicated to excellence in upholding and enforcing the law and managing risks to ensure the safety of students, faculty, staff and guests at UT Dallas. All personnel strive to maintain excellence and integrity in respecting the rights and dignity of all persons with whom they make contact."
https://police.utdallas.edu/,UT Dallas Police Department,Our Mission,"Our Mission as a police department is to prevent crime and harm to those within our University Community.  As a part of our mission, we strive to resolve conflict and solve crimes observed or reported, and to develop and nurture partnerships throughout the University Community."
https://police.utdallas.edu/,UT Dallas Police Department,Our Vision,Creating and sustaining campus partnerships that enable and commit the entire university community to our mission.
https://police.utdallas.edu/,UT Dallas Police Department,Contact UTDPD,"In non-emergency situations, dial 972-883-2222 . To report an anonymous tip, use our Silent Witness Form ."
https://police.utdallas.edu/,UT Dallas Police Department,Crime Log,
https://police.utdallas.edu/,UT Dallas Police Department,Annual Security Report,
https://police.utdallas.edu/,UT Dallas Police Department,Emergency Medical Response,
https://police.utdallas.edu/,UT Dallas Police Department,Bike Theft Prevention,
https://police.utdallas.edu/,UT Dallas Police Department,Beware of Scams,
https://police.utdallas.edu/,UT Dallas Police Department,Event Registration,
https://police.utdallas.edu/,UT Dallas Police Department,Community Training,
https://police.utdallas.edu/,UT Dallas Police Department,Lost and Found Inquiry,
