URL,MainTitle,SectionTitle,Content
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Final Exam Schedule,Find your final exam schedule in your Student Center.
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,The Summer and Fall Course Schedule is Now Available,Your date and time to register is your enrollment appointment. Check your enrollment appointment in your Orion Student Center “Manage My Classes” tile.
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Need to Waitlist for a Class?,
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Mobile Registration,Registration is now easier using Schedule Planner and your mobile phone. View mobile registration instructions (pdf) .
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Don’t Wait to Validate,Use Schedule Planner to validate your schedule before your registration appointment. Identify potential registration issues such as holds and unmet prerequisites.
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Check Your UTD Email Often,"The Registrar’s Office communicates important information to you via your UT Dallas email. Class schedule changes FERPA annual notification Registration-related correspondence Graduation-related notifications & reminders. For email assistance, contact the OIT Service Desk at assist@utdallas.edu or 972-883-2911 ."
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Review UT Dallas Course Catalogs Often,"The academic catalogs will provide you relevant information, including: Academic policies and regulations Courses and degree programs Financial aid Tuition and feeds University resources for study and campus life UT Dallas faculty rosters UT Dallas history"
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Orion: Your Student Account,Register for courses Obtain your enrollment verification View grades Apply for graduation Order an official transcript
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,Important Dates,
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,,
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,,
https://registrar.utdallas.edu/,Office of the Registrar | The University of Texas at Dallas,,
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Graduation,"Graduating from UT Dallas is the culmination of students’ hard work, when Comets become proud alumni. This page has everything future grads and their families and friends need to know before and after commencement."
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Commencement Activities,
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,School Commencement Ceremonies,"Each fall and spring, School Commencement Ceremonies will recognize graduates and their school classmates individually with traditional walking exercises in the Activity Center or Arts and Technology Lecture Hall . Map for Activity Center Ceremonies (pdf) Map for ATC Lecture Hall Ceremonies (pdf)"
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,University Commencement,"Friday, May 16 at 7:30 p.m. on the Roundabout — In addition to School Commencement Ceremonies, each spring the University Commencement honors the spring class and graduates from the preceding fall and summer. The outdoor ceremony, led by the President Richard C. Benson, features a grand procession, keynote speaker and entertainment. Map for University Commencement Ceremony (pdf)"
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Grads on the Green,"Following each school ceremony, graduates and their guests are invited to the Davidson-Gundy Alumni Center for a Grads on the Green celebration. This celebratory event offers numerous Instagram-worthy photo opportunities and complimentary gifts from various university departments."
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Graduation Regalia,"Graduation regalia is required for both ceremonies. Only approved UTD regalia may be worn. Cords and stoles not distributed by UTD or their official regalia merchandisers are not permitted, and students may be asked to remove them."
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Graduating Students,Apply To Graduate Apply To Be a Student Speaker (pdf) School Commencement Ceremony Instructions Ceremony Tickets Commencement Checklist Commencement Schedule Diploma Information Graduation Regalia Undergraduate Latin Honors
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Family & Friends,"Following each School Commencement Ceremony, graduates will walk down to the Grads on the Green celebration at the Davidson-Gundy Alumni Center . Once dismissed, family and friends are invited to follow graduates to the alumni center to meet, take photos with and celebrate their new graduate! Attendee Information Ceremony Tickets Commencement Programs Contact Disability Services Inclement Weather Procedures Lodging Watch Recordings of Ceremonies"
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,New Alumni,"After graduation, you transition from UT Dallas student to alumnus. The UT Dallas Alumni office provides alumni like you with life-long ways to remain engaged with UT Dallas through on-campus activities, events and other opportunities. Learn more about how alumni can stay connected. Update Your Information Join the Alumni Association at a Limited-Time Discount Attend Upcoming Alumni Events Purchase Your UT Dallas Ring Purchase Your Legacy Lane Brick Receive Career Center Help Visit the Davidson-Gundy Alumni Center"
https://graduation.utdallas.edu/,Graduation | The University of Texas at Dallas,Graduation Day,Commencement Schedule Visitor Information Fall 2024 Student Speakers Commencement Programs Persons with disabilities who would like to request accommodations or have questions about physical or virtual platform access may contact graduation@utdallas.edu in advance of the program.
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,Graduating Students,"Spring 2025 degrees will be posted starting May 22, 2025. Your degree will be posted or denied by May 30, 2025, and you will receive an email when this happens. Diplomas will be mailed out the week of June 2, 2025."
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,Apply for Graduation,"Before you apply for graduation, always verify with your academic advisor that you are eligible for graduation at the end of the application term. You must successfully complete all coursework you are enrolled in at UT Dallas during your graduation term. To apply for graduation, please log in to Galaxy and follow the step-by-step instructions on how to apply for graduation (pdf). After you have applied to graduate, you need to check your UT Dallas email on a regular basis throughout the semester. You will receive all correspondence regarding your graduation and commencement there."
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,Deadlines and Important Dates by Semester,"Dates and deadlines are updated at the conclusion of each academic year. Priority Deadline to Apply for Graduation: January 29, 2025 Deadline to update the name that will appear on your diploma: February 24, 2025 Deadline to update your Confidentiality/FERPA to be listed in graduation publications: February 24, 2025 Final Graduation Application Deadline: March 1, 2025 Date to update your Online Commencement RSVP: March 1, 2025 Deadline to update Diploma Address in Orion: May 23, 2025 Priority Deadline to Apply for Graduation: June 18, 2025 Final Graduation Application Deadline: July 15, 2025 Date to update your Online Commencement RSVP: October 1, 2025 (Fall Commencement) Deadline to update the name that will appear on your diploma: August 1, 2025 Deadline to update your Confidentiality/FERPA to be listed in graduation publications: September 30, 2025 Deadline to update Diploma Address in Orion: August 20, 2025 Priority Deadline to Apply for Graduation: September 3, 2025 Deadline to update the name that will appear on your diploma: September 30, 2025 Deadline to update your Confidentiality/FERPA to be listed in graduation publications: September 30, 2025 Final Graduation Application Deadline: October 1, 2025 Date to update your Online Commencement RSVP: October 1, 2025 Deadline to update your ‘Diploma’ address: January 10, 2026"
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,See Also,Apply to be a Student Commencement Speaker Undergraduate Latin Honors Graduation Verification Summer Graduates Texas Tuition Rebate Taking Courses Off Campus Career Center Office of Graduate Education Office of Development and Alumni Relations
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,Related Pages,
https://registrar.utdallas.edu/graduation,Graduating Students - Office of the Registrar | The University of Texas at Dallas,Important Deadlines,"January 29, 2025 Priority Graduation Application Deadline February 24, 2025 Deadline to Update Primary Name or request Preferred Name March 1, 2025 Final Graduation Application Deadline March 1, 2025 Commencement RSVP Update Deadline April 1, 2025 Commencement Guest Tickets and GradPass Available Online"
https://registrar.utdallas.edu/graduation/diploma,Diplomas - UTD Registrar,Diplomas,"Spring 2025 degrees will be posted starting May 22, 2025. Your degree will be posted or denied by May 30, 2025, and you will receive an email when this happens. Diplomas will be mailed out the week of June 2, 2025."
https://registrar.utdallas.edu/graduation/diploma,Diplomas - UTD Registrar,Diploma Distribution,"At the Commencement Ceremony, bachelor’s and master’s candidates will receive a certificate of congratulations. Diplomas will be mailed to bachelor’s and master’s graduates approximately five weeks following the Commencement Ceremonies (Fall and Spring) or five weeks following the end of the grading period (Summer) to the diploma Address listed in Orion. If no diploma address exists, diplomas will be mailed to the “Home” address on file at the time of the diploma order. You will receive an email from our diploma vendor once your diploma has been mailed. The diploma dimensions are 11 x 14 inches. Doctoral graduates receive their diplomas at the Commencement Ceremonies. Diplomas for a doctoral student who do not attend Commencement will be mailed out 5 to 7 business days following the Commencement Ceremonies. The Michael Sutter Company prints diplomas for UT Dallas. All diplomas are printed and shipped from their Utah headquarters. Diplomas cannot be mailed to addresses on campus."
https://registrar.utdallas.edu/graduation/diploma,Diplomas - UTD Registrar,Order a Diploma Replacement and eDiploma Online,"The following Online Diploma Service is available through our official diploma vendor, the Michael Sutter Company. Order a replacement diploma – Order your diploma easily online. You will be able to choose Standard Delivery or Express Overnight Delivery. There is a $10 charge for your diploma. Your Diploma will be printed and mailed within 1-2 days of your order. Express Overnight Orders will ship out the same day if the order was placed by noon CT. Order an Official eDiploma – Your UT Dallas eDiploma is a Signed and Certified PDF of your original paper diploma used for easy diploma verification purposes. The UT Dallas eDiploma is a one-time charge of $5. You will receive your eDiploma within minutes of ordering. You can then share your eDiploma as often as you need. Diploma Status – Search the status of your diploma order whether it is your new diploma or replacement diploma."
https://registrar.utdallas.edu/graduation/diploma,Diplomas - UTD Registrar,Holds,"Check your Orion Student Services Center for holds. All holds MUST be cleared in order to receive your diploma. If a student clears a hold after the certification date for the term, the student must notify the Graduation Team that the hold has been cleared. The diploma will only be ordered in the next ordering cycle after the Graduation Team receives an email notification from the student. Orders will be placed at noon on Wednesdays unless that day is a holiday, at which time the diplomas will be ordered the following business day."
